Lightning Mapping Array analyzed data
Analysis program: ./lma_analysis -d 20170517 -t 060000 -s 600 -l ok.loc -a -o /raid/lng1/analyzed_data_v10/2017/05_may_2017/170517/ -q
Analysis program version: 10.14.5R
File created: Thu Jun  1 04:43:23 2017
Data start time: 05/17/17 06:00:00
Number of seconds analyzed: 600
Location: OK LMA 2002/2005
Coordinate center (lat,lon,alt): 35.2791257 -97.9178678 417.90
Coordinate frame: cartesian
Maximum diameter of LMA (km): 190.614
Maximum light-time across LMA (ns): 635946
Number of stations: 18
Number of active stations: 17
Active stations: C D E H I L M N W Y A P U B O R Z
Minimum number of stations per solution: 6
Maximum reduced chi-squared: 5.00
Maximum number of chi-squared iterations: 20
Station information: id, name, lat(d), lon(d), alt(m), delay(ns), board_rev, rec_ch
Sta_info: C  Chickasha SE       35.0043455  -97.9073041   339.09  146 52  3
Sta_info: D  Dutton             35.2451748  -98.0754888   420.11  253 52  3
Sta_info: E  El Reno            35.4785046  -98.0089380   419.99  158 52  3
Sta_info: G  Goldsby            35.1325178  -97.5185999   382.30  151 51  3
Sta_info: H  Chickasha N        35.1299688  -97.9592651   341.93  159 52  3
Sta_info: I  Minco SE           35.2791257  -97.9178678   417.90  156 52  3
Sta_info: L  Goldsby S          35.1286892  -97.5122428   378.50   15 52  3
Sta_info: M  Middleberg         35.1347342  -97.7257633   414.68  159 52  3
Sta_info: N  Newcastle          35.2564446  -97.6589268   396.65  155 52  3
Sta_info: W  Minco W            35.3622021  -98.0397279   415.65  158 52  3
Sta_info: Y  Yukon              35.4402883  -97.7782383   405.96  162 52  3
Sta_info: A  Altus Airport      34.6966400  -99.3406100   435.60  148 51  3
Sta_info: P  Prairie Hill       34.5950200  -99.4936800   447.40  159 51  3
Sta_info: U  Mangum             34.8592300  -99.3612100   483.10  174 51  3
Sta_info: B  Bluff              34.7679400  -99.5392400   509.60  234 51  3
Sta_info: O  Olustee            34.5195200  -99.4349400   407.50  157 51  3
Sta_info: R  Granite            34.9733400  -99.4487200   492.90  168 51  3
Sta_info: Z  Zombie             34.7116100  -99.0802600   427.90  159 51  3
Station data: id, name, win(us), dec_win(us), data_ver, rms_error(ns), sources, %, <P/P_m>, active
Sta_data: C  Chickasha SE        80    12   70  1531904  59.1  2.20   A
Sta_data: D  Dutton              80    12   70   857659  33.1  2.95   A
Sta_data: E  El Reno             80    12   70  1316386  50.8  0.45   A
Sta_data: G  Goldsby              0     0   70        0   0.0  0.00  NA
Sta_data: H  Chickasha N         80    12   70  1042555  40.2  0.41   A
Sta_data: I  Minco SE            80    12   70  1254791  48.4  4.04   A
Sta_data: L  Goldsby S           80    12   70  1472936  56.8  0.60   A
Sta_data: M  Middleberg          80    12   70  1486493  57.3  0.78   A
Sta_data: N  Newcastle           80    12   70  1394486  53.8  2.30   A
Sta_data: W  Minco W             80    12   70  1092567  42.1  0.93   A
Sta_data: Y  Yukon               80    12   70  1075054  41.5  1.75   A
Sta_data: A  Altus Airport       80    12   70   339797  13.1  1.03   A
Sta_data: P  Prairie Hill        80    12   70  1155107  44.5  2.31   A
Sta_data: U  Mangum              80    10   70   919265  35.4  0.11   A
Sta_data: B  Bluff               80    10   70  1365962  52.7  1.22   A
Sta_data: O  Olustee             80    12   70   713674  27.5  0.83   A
Sta_data: R  Granite             80    10   70   924896  35.7  0.41   A
Sta_data: Z  Zombie              80    10   70  1224436  47.2  0.35   A
Metric file version: 4
Station mask order: ZROBUPAYWNMLIHGEDC
Data: time (UT sec of day), lat, lon, alt(m), reduced chi^2, P(dBW), mask
Data format: 15.9f 12.8f 13.8f 9.2f 6.2f 5.1f 7x
Number of events: 7543
*** data ***
21599.995788 42.715258  -95.293629 1138703.03 0.90 37.6 0x3d200
21599.997220 24.751682 -102.665749  344827.46 0.03 33.8 0x0a605
21599.999578 36.921926  -95.142535   49024.79 0.46 26.7 0x0e4c4
21599.999645 35.201467  -97.739715  125317.44 0.45 19.4 0x10625
21600.000001 35.574724  -97.642107    9040.28 0.33 17.3 0x17102
21600.000047 35.529559  -97.965860    3976.10 1.52 12.1 0x3f024
21600.000397 35.304765  -97.913047   19466.48 1.49 13.9 0x10986
21600.000500 35.610652  -97.710276    9429.50 0.77 18.2 0x317e3
21600.000610 35.630302  -97.709393   10132.53 1.07 10.2 0x05491
