Data: time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
25809.522222244,31.84635442,-99.30543112,14619.39,0.19,12.1,0xb2a
25809.555442592,31.77627028,-99.19206536,13790.63,1.76,12.0,0xb2a
25809.560054719,31.83695757,-99.26886598,14626.91,0.44,14.8,0xb2a
25809.577722126,31.86299094,-99.29575562,20375.75,0.82,13.1,0xb2a
25809.646314586,31.87646166,-99.26778331,12892.39,0.31,16.4,0xb6e
25809.652305215,31.83036103,-99.28651224,8752.59,0.53,14.2,0x32e
25809.666683646,31.18465907,-100.23626633,17178.07,0.0,8.5,0xa2a
25809.709007987,31.88460286,-99.25177758,10251.75,0.88,10.8,0x32a
25809.753423017,33.17630396,-98.29622213,12426.3,0.33,16.0,0xa6a
25809.793587371,31.9511017,-99.46095007,7600.0,1.2,19.5,0x86e
25809.890145853,31.09321384,-100.18683237,21286.92,0.02,9.1,0xb2a
25810.934862974,33.50821355,-102.23399945,18369.96,0.62,-8.3,0xa64
25811.677304152,31.30520243,-100.41658814,10128.76,0.01,9.4,0xa2a
25811.855093751,31.20286221,-100.36762952,14126.38,0.16,10.6,0xb2a
25812.187002334,33.82766742,-101.85558773,26314.15,0.0,-3.2,0x9a4
25812.509142965,33.28304718,-101.90632717,45044.39,1.26,-2.5,0x82e
25812.543002332,33.61189761,-101.90642736,52721.23,0.14,-3.4,0x8e8
25812.651578522,31.23410443,-100.25029014,18947.51,0.15,12.6,0xb2a
25812.652925067,31.24075852,-100.25685485,18029.08,0.15,10.6,0xb2a
25812.851533459,33.88068631,-102.16926733,14812.03,0.47,1.1,0xaa4
25813.943385571,33.16059581,-98.33487812,10407.09,0.54,12.0,0x32a
25813.965591571,31.48136948,-100.2875022,17558.28,0.25,9.4,0xb2a
25813.96958585,31.49157593,-100.29765572,8366.16,0.53,11.6,0xb0e
25814.011081056,31.5101036,-100.2868887,11207.43,1.03,13.6,0xb6a
25814.013258905,31.55397237,-100.26399344,11946.85,0.37,10.5,0xb2a
25814.013475483,31.56387071,-100.26961034,10600.45,1.08,12.6,0xb2a
25814.019888229,31.45125413,-100.23915797,14304.51,0.0,10.5,0x32a
25814.028791758,31.5265272,-100.31317005,10613.62,0.29,11.7,0xb2a
25814.03435403,31.55237944,-100.33409807,8503.46,0.4,11.4,0xa2e
25814.044972461,31.51692472,-100.31482742,12188.62,0.32,16.0,0xb6a
25814.066378433,31.51598794,-100.32361053,10307.59,0.27,14.3,0xb2a
25814.074479467,31.48744302,-100.3010499,17232.16,0.37,8.2,0xa2a
25814.075189743,31.52431374,-100.33086816,7195.5,0.3,10.6,0x32a
25814.092879206,31.53327468,-100.20768397,14203.97,1.1,11.3,0x32a
25814.09708874,31.56718544,-100.24434614,8044.28,0.15,13.1,0x36a
25814.108915914,31.47994036,-100.32544768,16327.79,0.07,13.2,0x92c
25814.132381703,31.61761691,-100.27436981,11938.37,0.18,6.3,0xa2a
25814.132581473,31.67499881,-100.31818372,10994.04,0.21,7.5,0xa2a
25814.139078345,31.64235526,-100.31071018,14081.61,0.0,8.8,0xa2a
25814.154725213,31.58992089,-100.28937851,9303.19,0.12,9.4,0xb2a
25814.158533274,31.6539928,-100.33806012,7810.42,1.36,13.3,0xb2a
25814.162161398,31.62875981,-100.32762529,6436.31,0.53,7.6,0xa2a
25814.166082401,31.60121259,-100.30716692,13802.85,0.19,7.2,0xa2a
25814.168122934,31.59524935,-100.30083946,15035.76,0.16,14.5,0xb2a
25814.175469009,31.59902175,-100.30716901,16740.05,1.52,11.3,0xb2a
25814.177176586,33.61696746,-102.1674407,48391.03,0.17,0.7,0x9c2
25814.185219886,31.59337283,-100.31311897,6552.42,0.26,12.1,0x32e
25814.192061131,31.62585631,-100.34707338,6481.35,0.23,13.1,0xa2a
25814.192334305,31.58827418,-100.31531202,11528.11,0.1,11.2,0xb2a
25814.201258352,31.58176388,-100.32039876,15057.32,0.03,9.7,0xa2a
25814.203149272,34.23725621,-102.05969372,83864.28,0.11,7.1,0x91c
25814.206521495,31.58274626,-100.32484127,14400.94,0.37,12.1,0xb2a
25814.2072301,32.80661988,-101.22014045,111327.15,0.67,5.9,0x92c
25814.21014393,33.7854842,-101.38345387,104138.31,0.03,2.9,0x8e2
25814.214731706,31.01375298,-100.29948421,13068.92,0.4,11.2,0xa2a
25814.214984745,31.34920557,-100.317651,19657.04,0.1,9.1,0xb2a
25814.222994305,31.56179552,-100.3207135,8838.67,0.38,14.9,0xb28
25814.244043279,31.06727679,-100.33259816,23375.91,0.23,9.2,0xa2a
25814.253548686,30.98184263,-100.28610672,9310.4,1.42,12.5,0x22e
25814.261005919,31.11848517,-100.37574705,33040.36,1.1,12.4,0xa2a
25814.264583132,31.05908973,-100.32690275,10510.11,0.37,16.1,0xb2a
25814.267344107,31.02004031,-100.30072909,21099.01,0.4,16.5,0xb2a
25814.283080518,31.87326535,-99.27847249,31316.03,0.35,11.7,0x92a
25814.285864632,31.45406813,-100.30247171,7544.0,0.92,9.7,0xa2e
25814.322175543,33.71141077,-101.07045396,73909.99,0.26,3.2,0xa0e
25814.33871436,31.50086754,-100.37375498,9924.31,1.34,9.3,0xb2a
25814.343846052,31.51250165,-100.38958573,30716.26,1.08,9.0,0xa2a
25814.485233434,28.72032861,-98.28292545,179305.94,0.44,17.5,0xb28
25814.487089268,33.92053486,-102.06589459,14196.55,0.26,-13.7,0xb0a
25814.487116088,34.55647081,-99.963702,287298.55,1.27,11.3,0x90e
25814.487460053,31.60188639,-100.26312829,15866.53,0.19,11.1,0xb2a
25814.487711798,31.61202067,-100.27524482,10976.93,0.25,13.8,0xa2c
25814.517740606,31.66228732,-100.25941488,17797.37,0.13,7.8,0xa2a
25814.537440346,31.68555188,-100.25050516,6612.09,0.09,12.5,0x32e
25814.543389613,31.66280351,-100.2220843,11931.98,0.23,9.3,0xb2a
25814.543765691,33.62015342,-102.44331898,35875.55,0.7,3.3,0x0bc
25814.553221108,31.67166343,-100.22220543,17642.66,0.55,11.6,0xb2a
25814.569126259,31.6594028,-100.20215031,6642.62,0.2,12.4,0x32e
25814.57390948,31.57800413,-100.18172579,9646.07,0.74,14.0,0xb2a
25814.606934036,31.7254938,-100.20910645,6389.13,0.35,12.7,0x32e
25814.607665631,31.72705525,-100.21282515,7549.62,0.35,15.0,0xb2a
25814.627722726,32.97713826,-98.36644274,15732.66,0.01,9.8,0x34a
25814.63195692,31.6919874,-100.1961742,6744.82,0.67,15.7,0x32c
25814.634042639,31.7720019,-100.29361276,12919.7,0.04,14.8,0x26a
25814.725758311,32.96960731,-98.30141747,11788.19,0.14,12.5,0xb2a
25814.828539115,33.09634975,-98.87260272,17371.13,1.28,10.0,0x70a
25814.968937292,33.59869973,-101.73712577,19986.33,0.23,-6.3,0xa2a
25815.343722786,33.70692993,-101.75969185,11503.25,0.08,-4.4,0x89c
25816.440744926,31.80118209,-99.22286291,14907.73,0.16,16.5,0xb6e
25816.464573203,31.80372024,-99.24582885,15047.34,0.27,17.6,0xb2a
25816.466135611,32.06594363,-99.5945042,28651.05,0.01,15.3,0xb42
25816.470074351,31.79898798,-99.24653053,14371.97,0.56,14.0,0xb2a
25816.473563755,31.77506781,-99.21551733,14962.9,0.2,11.4,0x32a
25816.476630852,31.73047329,-99.15084136,12631.48,1.32,13.0,0xb2a
25816.487285154,33.77275264,-101.62010222,35227.05,0.82,-3.1,0x986
25816.605398089,33.58637121,-101.86983346,21935.54,1.43,-3.1,0xcc8
25816.638882544,33.76301908,-101.55976718,2774.84,0.59,-10.2,0xa86
25816.821293988,32.65816005,-98.48197621,11147.9,0.16,13.0,0x32a
25817.00391193,33.14536294,-101.66870036,92894.79,1.03,6.8,0x916
25817.059680297,31.25421758,-100.23779118,13236.88,0.01,9.2,0xa2a
25817.141608875,33.6204998,-101.88045557,17557.02,0.51,-8.5,0x836
25817.178003654,30.8882017,-99.9264716,22758.15,0.76,18.5,0x92c
25817.207484115,30.35876767,-100.61608494,198426.6,1.17,19.9,0x2c6
25817.20903365,31.22699851,-100.21736325,11793.59,0.5,16.9,0x36a
25817.23659261,33.29808706,-102.03214884,40423.66,0.77,-3.2,0x8a6
25817.267786471,31.27980396,-100.21813223,36496.08,1.55,12.0,0x92a
25817.275324877,31.27427141,-100.22149698,11923.17,0.44,13.5,0xb2a
25817.318948029,31.23879239,-100.20503064,20901.04,0.09,11.6,0x32a
25817.334059034,31.26744277,-100.22822885,21523.69,0.44,17.5,0xb6e
25817.362141239,31.22150024,-100.20201454,10606.52,0.08,26.1,0x3ee
25817.865756232,31.34141686,-100.33187071,12370.3,0.53,9.3,0xb2a
25817.88541385,31.35431847,-100.31803786,7568.58,0.03,11.3,0x32e
25817.893159377,31.33156067,-100.29498201,17693.89,0.06,11.9,0xa2a
25817.94033515,31.29080035,-100.24214005,16711.43,0.12,9.9,0x32a
25817.976868139,31.37698352,-100.27337762,8742.31,1.21,16.2,0x96a
25817.984308948,31.36929799,-100.26341746,18895.57,0.02,12.0,0xb2a
25817.991768446,31.37038003,-100.35403289,15534.73,0.26,10.7,0xb2a
25818.070592916,33.78463803,-102.11784052,13085.2,1.3,-10.6,0xa2c
25818.071943965,31.24782079,-100.31121007,27189.68,0.0,13.2,0xb22
25818.07968845,31.31675078,-100.34841708,16014.12,0.05,14.0,0x92e
25819.722395846,33.41288143,-101.66784414,15751.2,0.91,-5.7,0xa2c
25820.520758221,34.24275123,-102.36462763,54376.5,0.01,-1.2,0xb0a
25820.829282413,33.24111,-97.61565347,20506.32,0.97,15.4,0xa2c
25820.876208716,33.74892794,-101.69462093,31744.29,1.49,-1.7,0x21e
25821.137805282,33.69069211,-101.91795613,22097.07,1.22,-2.7,0x90e
25822.091986541,31.18527658,-100.26537184,19295.05,0.13,14.9,0x32e
25822.187554064,33.14595679,-98.38785413,17290.46,0.14,13.4,0xb2a
25822.26226898,33.14941468,-98.35926161,11863.57,0.41,12.5,0xb2a
25822.393973979,31.18218431,-100.24749983,20918.87,0.57,8.5,0xa0e
25822.403936322,33.62840123,-101.79509716,26070.4,0.08,-7.7,0xaa2
25822.440948798,31.19059068,-100.25281894,16261.61,0.05,13.3,0xb2e
25822.545607937,32.78289085,-101.30603485,30673.09,0.52,6.2,0x14e
25822.572063642,31.18058681,-100.47736116,18612.92,0.21,12.1,0xb2a
25822.619645645,33.45655595,-102.07256681,45025.82,0.68,6.2,0x91c
25822.659984028,31.13685823,-100.44060035,18162.3,0.19,11.2,0xb2a
25823.271074566,33.67852649,-102.00676674,10198.61,0.24,-13.7,0xa32
25824.105449422,31.71719342,-99.16405338,10003.04,0.58,13.2,0x32e
25824.294072895,31.7279382,-99.19024398,16045.64,0.09,13.8,0xb2a
25824.300700109,33.63815379,-101.68068898,13868.98,0.48,-0.8,0x694
