Data: time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
25846.14466207,26.86435974,-97.47854847,86273.23,0.01,16.3,0x28e
25846.239308176,31.22620416,-100.27548449,15257.67,1.65,13.4,0xb2e
25847.325431215,31.85016001,-99.21286862,15776.54,0.02,14.5,0x32e
25847.358503013,31.84599512,-99.25868375,18154.36,0.25,17.2,0xb2a
25847.389756789,31.82285645,-99.24992359,15786.85,0.15,14.2,0xb2a
25847.410104547,31.7988179,-99.21377698,10101.88,0.21,12.7,0x32a
25847.469075854,32.26319288,-99.85756368,34898.83,1.94,13.2,0xa26
25847.49827698,31.84734201,-99.30672774,15657.51,0.03,14.4,0x32e
25847.509362987,31.29849041,-100.37286718,15497.43,0.18,15.0,0xb2e
25847.523717569,31.29820426,-100.35295203,12770.01,0.86,8.1,0xa2a
25847.53933395,31.32313156,-100.36185704,15853.53,0.05,14.5,0xb2e
25847.54028641,31.32303941,-100.36061977,13721.33,0.02,12.0,0xb2a
25847.635929723,31.20417267,-100.62291879,16768.84,0.69,6.4,0xa2a
25848.408658665,33.56518225,-101.94186887,19458.7,0.58,-1.8,0xa94
25848.955606566,31.23477212,-100.30713726,16178.17,0.27,15.8,0x96a
25849.018326087,31.20828191,-100.31952172,23063.48,0.05,7.4,0xa2a
25849.050076775,31.1821783,-100.28456284,15215.93,0.17,17.3,0xb2a
25849.092410116,32.78914881,-103.248181,111256.36,0.02,5.8,0xa64
25849.156915402,33.90120517,-98.14388688,14544.14,0.19,10.9,0x32a
25849.599014242,33.14064215,-98.24268226,14673.16,0.06,14.2,0x96a
25849.934404868,33.85267875,-102.07275689,16612.19,0.9,-8.2,0xaa4
25850.34501569,32.33626383,-100.04218762,12521.87,0.24,16.3,0xa2c
25850.419354545,32.90678525,-97.35914757,15387.76,0.87,16.5,0x32a
25850.420022487,33.55292985,-100.29585008,20904.66,1.19,3.2,0x30e
25850.510066297,31.75294743,-99.18416376,11874.92,0.21,17.6,0xb4c
25850.589111998,30.99435583,-99.98365196,45467.43,1.61,11.2,0xa2a
25850.668979547,31.75021513,-99.16894465,11041.33,0.95,8.6,0xa2a
25850.675695218,34.06825969,-102.13749367,61672.01,0.1,2.3,0x9a4
25850.768222293,31.805052,-100.65415321,17743.6,1.04,19.5,0x82e
25850.825607858,33.88172844,-102.05941564,44753.83,0.19,-4.2,0x938
25850.826403179,31.26048989,-100.22791117,19050.74,0.08,11.6,0xb2a
25850.925744481,32.91697825,-98.47023104,9143.17,0.17,13.3,0xa26
25851.151260788,33.61984826,-101.96217704,20338.14,1.38,0.0,0x874
25851.237263153,33.255605,-102.04049814,8327.44,0.49,-3.0,0xc0e
25852.073905684,33.81823858,-101.95587286,29217.33,0.97,-4.6,0xf04
25852.311791793,31.99442821,-99.33316604,8725.06,0.36,13.5,0x36a
25852.345286097,31.99548875,-99.32256206,9089.3,0.32,15.4,0x32e
25852.391833946,32.05208107,-99.35382937,7581.65,0.56,10.2,0x32a
25852.475761985,32.75232736,-102.20081302,122736.8,0.04,10.8,0x370
25853.002580298,31.82490689,-99.29854796,17900.74,0.09,15.3,0xb2c
25853.083704326,31.81314847,-99.25953232,16203.32,0.24,18.8,0xb2a
25853.09414387,32.07776369,-99.65801305,21484.66,1.21,16.2,0xa6c
25853.120317254,31.82644669,-99.27849177,15196.94,0.04,25.5,0xbee
25853.182654217,31.81266243,-99.28625475,15950.41,0.28,12.8,0xb2a
25853.394521702,33.9866311,-102.09555648,57165.24,0.0,6.5,0xb0c
25853.479038154,31.82596445,-99.29795912,13549.28,0.28,21.5,0xb6e
25853.708917177,32.03447475,-99.54323984,196167.25,1.01,14.4,0xad0
25854.301949766,33.85690652,-101.21336541,19207.34,1.42,-1.1,0xac4
25854.4185736,36.3734827,-107.32397805,560550.13,1.49,23.1,0xcc8
25855.497073883,32.00751038,-98.3973868,25369.21,1.53,17.3,0xb6c
25855.515233466,33.14796201,-98.3540841,9611.03,0.52,12.1,0x32a
25855.737368882,33.32299517,-101.76203027,25068.95,1.86,-0.9,0x98c
25857.021507732,33.51803561,-102.02681407,32230.58,0.21,-7.5,0x866
25857.046424412,33.33996927,-101.76345961,12771.27,0.02,-1.5,0x934
25858.049230858,31.32392083,-102.59925279,62285.58,0.04,19.3,0x22e
25858.679808443,33.15625776,-98.30740517,11302.12,0.5,11.8,0xb2a
25858.872897494,31.18021001,-100.3155708,36756.53,1.47,14.6,0x92a
25859.055843987,31.2471443,-100.36481362,19186.73,1.01,10.5,0xb2a
25859.09503184,31.2794073,-100.37077577,7888.01,1.29,16.0,0x82e
25859.193028081,31.27234409,-100.28563422,18801.08,0.1,7.8,0xa2a
25859.207816155,31.29642112,-100.27579058,19177.64,0.33,9.7,0xb2a
25859.213685529,31.32697951,-100.27645295,11806.42,0.68,11.2,0x92e
25859.216329243,33.72035685,-102.63378231,185507.26,0.0,5.7,0xa2a
25859.216751718,33.5472344,-101.75041859,42140.99,1.67,-6.3,0x962
25859.239715976,31.33208556,-100.28462427,9258.12,0.84,11.6,0xb2a
25859.241543105,33.79115356,-101.7803321,33848.91,1.26,-5.4,0xe18
25859.256188767,31.34247364,-100.31209157,16745.03,0.53,11.6,0xb2a
25859.272395503,33.58464727,-100.1327138,20662.34,0.43,2.0,0xb0a
25859.273493697,31.3738565,-100.27171904,10663.32,0.12,19.3,0xb62
25859.297144567,31.37987627,-100.28868777,18425.34,0.42,11.5,0xb2a
25859.305148049,31.38172862,-100.29369315,8556.7,0.54,12.4,0xa2e
25859.328721306,31.40909623,-100.31017887,13634.99,0.2,9.7,0xb2a
25859.329420785,31.41754977,-100.3160957,15082.69,0.31,9.1,0xb2a
25859.334182414,31.41215135,-100.30988925,18087.18,0.76,14.0,0xb2a
25859.334511483,31.41938095,-100.31463685,17917.48,0.79,12.2,0xb2a
25859.370259826,31.42489527,-100.34532406,22898.63,0.02,7.2,0xa2a
25859.430228029,31.31435098,-100.27391089,21008.09,0.05,7.7,0xa2a
25859.467003557,31.46211228,-100.35821267,28935.81,0.75,15.6,0x92a
25859.504245697,31.18212255,-100.3267081,14570.83,0.44,10.2,0xb2a
25859.507531742,31.19162263,-100.31716709,21440.23,1.05,9.7,0xb2a
25859.507839764,31.17987342,-100.30649295,13319.68,0.13,15.7,0xb2c
25859.508020604,31.26982626,-100.35911513,16991.72,1.1,9.8,0xb2a
25859.508052302,31.18366993,-100.30837654,13283.87,0.24,15.9,0xb2e
25859.508768639,31.18258422,-100.29865636,20000.17,0.58,10.7,0xb2a
25859.534486915,31.34997127,-100.35344121,16078.32,0.34,10.3,0xb2a
25859.679108623,31.26597718,-100.37927809,20496.37,0.69,14.8,0xb2a
25860.919073179,33.36572608,-101.89183828,35904.98,0.15,-4.1,0x2e8
25861.745965628,33.18617465,-98.36734294,12673.54,0.34,15.4,0xb2a
25862.281154301,33.73672688,-101.90130268,24662.3,0.98,-9.9,0xaa2
25862.364058366,32.93168022,-98.05193039,19170.79,0.42,18.1,0xa2e
25862.420295963,32.97077158,-98.29485894,12258.31,0.22,14.9,0xa2e
25862.433567128,32.96474178,-98.28433484,11980.54,0.1,15.2,0xb2a
25862.638932313,33.07586536,-98.62401809,21241.72,1.35,13.4,0xb2a
25862.77942442,33.65274523,-102.07933562,2534.21,0.0,-11.0,0xa26
25863.295530779,31.20986748,-100.24894392,12043.37,0.03,13.7,0xb28
25863.37909799,31.25531999,-100.19372452,18135.6,0.0,11.1,0x32a
25863.387523229,31.24779145,-100.20485614,19408.69,0.19,9.2,0xb2a
25863.391972102,31.22172878,-100.1800604,14271.24,0.21,10.1,0x32a
25863.394447402,30.7703356,-99.89230807,53762.65,0.01,14.0,0xb28
25863.410632734,31.26446353,-100.20028782,10100.99,0.12,13.0,0xb2a
25863.490149887,31.2398138,-100.28711752,10699.02,0.13,21.1,0xa2e
25863.526154121,31.2629828,-100.17076492,17506.2,0.1,12.1,0xb2a
25863.536175386,31.26235522,-100.16429137,11106.67,0.02,8.0,0xa2a
25863.645880898,33.67054338,-101.71975755,8148.89,0.19,-10.9,0x2a6
25863.910832006,33.91599565,-98.45356366,18543.19,0.04,10.2,0x32a
25863.996332163,33.98604606,-102.46993627,25025.86,0.15,-4.2,0xa2c
25864.098474378,31.7906445,-99.19917569,15826.36,0.22,14.8,0xb2a
25864.099502179,31.72016607,-99.11008815,11819.25,0.33,13.4,0x32e
25864.158789834,31.79327432,-99.25055134,8859.83,1.65,13.0,0x32a
25864.220380458,31.73910525,-99.22593688,19273.08,0.41,18.6,0xb2a
25864.221262589,31.7444387,-99.23839164,10707.86,1.16,14.9,0x32e
25864.286528125,33.75477905,-101.26766661,34074.62,1.64,-2.5,0xb88
25864.296248586,33.65729719,-101.82109095,20295.19,0.12,-6.9,0x8ac
25864.59524,31.81948929,-99.2759188,9047.29,1.9,15.1,0xb2e
25864.607076535,31.68773549,-99.08609853,27541.95,0.12,11.8,0x32a
25864.615928921,31.89619127,-99.33809884,21300.89,1.86,16.3,0xb2a
25864.619871477,31.86536211,-99.29647256,19984.6,0.71,12.9,0x32a
25864.665247465,33.77055156,-101.75724816,50020.5,1.94,7.8,0x466
25865.493664948,33.16747356,-98.43768926,19743.33,1.96,16.0,0x96c
25865.513815279,33.15291106,-98.37466065,14438.5,0.28,13.9,0xb2a
25867.272527209,32.22429252,-98.55344208,19944.87,0.29,7.5,0x32a
25867.323233034,32.25532818,-98.64305283,11530.65,0.07,10.8,0x32a
25867.709968689,31.74147038,-99.50286202,17485.92,0.1,10.1,0x32a
25867.72920621,31.72639691,-99.49945667,8644.63,0.6,12.0,0x32a
25867.804568581,31.13893007,-100.33134021,13036.39,0.03,15.5,0xb6e
25867.856786355,31.13535433,-100.33487028,16047.29,0.0,10.9,0xa2a
25867.857337125,31.12373877,-100.3253556,19104.16,0.01,10.0,0xa2a
25867.927217599,31.15642278,-100.34319408,16544.17,0.11,15.0,0x22e
25868.17436042,31.08746845,-100.28397496,27815.26,0.01,10.8,0x32a
25868.174497804,33.55139726,-102.6629335,114139.54,1.71,14.1,0xc4c
25868.174567907,33.24621493,-102.1031197,82893.11,1.27,1.1,0xb24
25868.174745648,34.30710131,-101.84232535,139559.54,0.1,3.8,0xc32
25868.521715222,33.15282404,-98.38441864,22454.1,0.0,9.2,0xa2a
25869.112183172,33.17984801,-102.08371573,31623.62,1.5,4.2,0xbc0
25870.638489442,32.74083458,-98.38672818,12192.81,0.58,13.1,0x32a
25872.567764297,31.24059248,-100.35121017,44672.65,0.08,13.6,0x92a
25872.568166238,31.16965562,-100.29737407,18412.84,0.03,9.5,0xa2a
25872.579684252,31.89379484,-105.34386932,256134.87,0.04,16.9,0x742
25873.155193713,31.9669676,-99.27520321,12561.18,0.11,19.7,0xb2e
25873.165740891,31.93489658,-99.22064153,14598.26,0.22,17.0,0xb2e
25873.174272611,31.96081014,-99.25283106,10531.93,0.5,10.2,0x32a
25873.202111975,31.96794033,-99.2605981,16135.43,0.61,14.4,0x32a
25874.2510823,33.74045891,-101.20388936,12593.7,0.32,-4.6,0x34a
25874.2619696,33.15361192,-98.23007895,11050.56,1.03,16.9,0xa6a
25874.262455517,33.17131602,-98.32478232,9511.67,0.31,12.5,0x32a
25874.267643412,33.73951317,-101.19774607,12564.57,0.56,-3.0,0x34a
25874.792913708,33.11348815,-98.1847492,26711.53,0.01,12.5,0xa2a
25874.810394421,31.41184921,-100.26626901,11363.75,0.9,8.9,0xa2a
25874.822373822,31.36192492,-100.34678976,22590.7,1.48,10.8,0xb2a
25874.827900625,31.36219484,-100.30932852,10004.18,0.41,11.1,0x22e
25874.834288771,33.69056684,-101.67746143,82576.6,0.43,7.5,0x3d0
25874.855567122,31.38654832,-100.31764999,19225.51,0.67,13.4,0xb2a
25874.914038724,33.98748997,-102.0376299,102903.98,1.95,-2.5,0xa4a
25874.936118695,31.29907701,-100.31508261,12307.51,0.07,16.7,0xb6e
25874.939900565,31.36160577,-100.35544143,11539.0,0.11,13.9,0xb6a
25874.956553559,31.38330799,-100.2499197,18774.09,0.55,12.7,0xb2a
25874.962481931,31.36923838,-100.24055467,9000.41,0.59,16.0,0xb28
25874.963052595,31.35764086,-100.2318451,15631.9,0.75,12.5,0xb2a
25874.965974194,31.4444854,-100.38953846,7708.83,0.98,17.7,0x96a
25874.969023117,31.32685395,-100.36317335,30990.88,0.93,14.6,0xb24
25874.98089607,31.3106711,-100.33063547,11279.99,0.29,13.6,0xb6e
25874.981763719,31.34917485,-100.3882369,16658.01,0.47,9.4,0xb2a
25874.985035313,31.30745075,-100.32636136,14298.18,0.23,8.9,0xb2a
25875.007506735,31.42752516,-100.41174418,28219.56,0.0,10.3,0xb28
25875.016542092,31.46158118,-100.42339423,21249.26,0.03,10.5,0xa2a
25875.025213671,31.43424129,-100.39962364,32233.9,1.52,9.8,0x92a
25875.032868608,33.10781898,-98.32541859,17135.74,0.23,14.5,0xa2e
25875.033460934,31.42851484,-100.23026067,14173.9,0.19,8.9,0xb2a
25875.045071334,29.82952892,-99.17527893,112795.24,0.08,14.8,0xb28
25875.052670092,31.2564799,-100.11641772,19474.73,0.42,11.3,0xb2a
25875.072245115,31.45905707,-100.24087263,15476.45,0.51,10.5,0xb2a
25875.077694734,31.46299291,-100.23665244,14079.58,0.47,13.9,0xb2e
25875.09398847,33.77083152,-102.03646404,25436.64,0.18,-8.8,0xba0
25875.09572912,31.51804213,-100.27602856,29627.86,0.87,13.6,0x96e
25875.104044581,31.17950759,-100.26713158,15420.79,1.51,10.2,0xb2a
25875.1084194,31.4872304,-100.27033894,17047.42,1.51,12.1,0xb2a
25875.114438557,31.48555687,-100.26910723,17261.04,1.34,9.6,0xb28
25875.121828661,31.46781312,-100.28176619,13222.74,0.34,9.7,0xb2a
25875.128160205,31.57442849,-100.32417827,14397.94,1.19,16.2,0xb6e
25875.130244004,31.48028278,-100.30377472,18332.19,0.62,8.7,0xb2a
25875.1619046,31.29935972,-100.26608244,16919.92,1.03,13.1,0xb2a
25875.162618384,33.47629594,-101.79004295,35944.82,0.07,-4.7,0x92a
25875.166727592,31.40698667,-100.25904185,14865.26,0.25,14.1,0xb2a
25875.184321531,29.16107369,-98.99145506,136189.65,0.2,22.7,0x368
25875.249765052,31.31451361,-100.14567636,23921.27,1.27,18.5,0xb4e
25875.636260217,32.80392421,-100.75952132,29681.88,0.05,3.8,0xba0
25876.071949279,31.82940422,-99.26203749,11956.45,0.07,14.2,0xb2e
25876.077346298,33.63650483,-101.99485708,15558.0,0.01,-0.8,0x3b0
25876.139326247,31.86859756,-99.24490088,15634.17,0.25,14.2,0xb2a
25876.205975893,31.88735821,-99.28605684,17002.45,1.18,10.3,0x32a
25876.210790983,31.89617393,-99.30620388,16991.97,0.41,14.7,0xa2e
25876.211063798,31.86013515,-99.2505482,16110.35,0.24,18.5,0xb2a
25876.216434038,31.80185491,-99.28771049,16836.69,0.57,24.0,0xb2a
25876.238971917,31.79136145,-99.26943355,15940.0,0.11,25.3,0xb2a
25876.254291199,31.75127589,-99.22378568,14480.46,0.92,15.9,0x22e
25876.308618365,31.82230191,-99.2590295,9280.98,0.14,11.6,0xb2a
25876.309613841,32.89933385,-100.60524002,7161.23,0.15,14.8,0x3ca
25876.32207406,31.83626313,-99.29476096,9566.45,0.2,11.6,0xa2a
25876.329610314,31.90358949,-99.39199739,11770.9,0.75,15.5,0x26e
25876.34111002,31.75956252,-99.19417302,10491.18,1.06,16.1,0x32e
25876.608409581,33.73566006,-101.68255077,6584.19,1.1,0.2,0x706
25878.68510852,33.71145884,-101.75659238,25398.91,0.11,-4.7,0x2f0
25878.951612916,31.15867213,-100.1213838,14462.06,0.13,10.9,0xb2a
25879.067271619,31.15631098,-100.14758939,10779.99,0.5,11.0,0xb2a
25880.186987055,33.52951711,-101.75004045,24499.44,1.09,-6.7,0xa8c
25880.292513299,31.2748143,-100.35479614,19006.97,1.72,10.7,0xb2a
25880.305418162,31.19723216,-100.30804965,20114.5,0.62,13.8,0xb2a
25880.338567816,31.22113324,-100.31084578,19789.56,0.56,13.3,0xb2a
25880.487723095,31.21734976,-100.2898762,13422.31,0.1,17.5,0xb6e
25880.489971554,31.22020903,-100.26916045,22667.42,1.15,10.9,0xb2a
25880.518265559,32.7945252,-101.51852343,30854.37,1.54,3.8,0x9a8
25880.524895919,31.11961489,-100.23780811,15115.28,0.0,10.4,0xa2a
25880.526002642,31.19308889,-100.28215865,19140.93,0.39,11.7,0xb2a
25880.532241884,31.2201807,-100.25201448,17122.31,0.23,10.7,0xb2a
25880.568888907,31.25417148,-100.372507,15446.03,0.85,8.2,0xa2a
25880.594027486,31.20561042,-100.36009137,19044.11,0.01,10.7,0xa2a
25880.597720809,33.16832905,-98.31385879,10232.89,0.62,11.7,0x32a
25880.597809861,33.16241792,-98.35452451,13257.32,0.64,10.1,0x92a
25880.598257456,33.64280714,-100.69113892,17919.71,0.05,1.2,0x70a
25880.658683393,31.25176156,-100.36910488,9053.8,0.03,7.6,0xa2a
25880.65884656,31.24171408,-100.36262357,9653.72,0.51,8.2,0xa2a
25880.740864061,31.33046171,-100.40460177,7440.49,1.68,15.9,0x32a
25880.746203174,33.77549659,-101.44391845,7278.86,0.3,-5.9,0xb42
25882.744697253,33.90011754,-101.65633944,27274.4,0.78,-5.5,0xac8
25883.296487803,33.48760919,-101.93929227,8433.13,0.95,-9.3,0x84e
25883.507190846,33.17575734,-100.99096017,75373.08,0.11,2.4,0xc8a
25883.615525194,31.97256919,-99.51390684,33781.19,0.89,12.7,0xaa2
25883.741371966,30.66784171,-97.82806296,71200.01,0.55,18.1,0x30e
25883.762810364,31.83881694,-99.28342838,9533.34,1.92,11.4,0xb2a
25883.830893715,31.76445582,-99.21095397,10542.01,1.26,10.0,0x32a
25883.841535426,31.74807324,-99.1763331,21580.84,0.73,13.1,0xb2a
25883.964414993,32.13978116,-98.68812686,16467.82,1.58,12.6,0x32a
25883.972888478,32.18432271,-98.65764754,16306.2,0.75,17.0,0x32e
25884.047976991,33.10669471,-98.32946249,20305.73,0.73,11.6,0x32a
25884.141791296,31.21739129,-100.49030013,15271.12,0.32,10.5,0xb2a
25884.252118552,32.32655836,-98.81057674,25814.52,1.73,9.2,0x32a
25884.328833469,32.55675047,-98.42987019,15826.59,0.52,13.2,0x32a
25884.661216657,33.38481202,-102.59759959,79643.39,0.57,9.3,0x878
25884.76301736,31.19718264,-100.47089486,12590.12,0.16,9.3,0xa2a
25885.419519143,33.37690622,-102.2430692,20645.81,1.99,-7.6,0x82e
25885.741290497,31.65853374,-100.2824197,9565.8,0.78,13.9,0x92e
25885.746604447,31.59836787,-100.19214971,10288.64,0.15,13.3,0xb6a
25885.75343218,31.5833547,-100.21458422,13986.61,0.0,12.1,0x32a
25885.758624581,31.64047642,-100.20753809,14535.41,0.12,9.9,0xb2a
25885.760074592,31.58874613,-100.24007342,10681.55,0.05,17.4,0xb6a
25885.762180496,31.62209985,-100.15930033,11796.53,1.3,12.4,0xb2a
25885.762469664,31.64230486,-100.21840196,7110.92,0.03,7.7,0xb22
25885.767820305,31.61067652,-100.27210381,6950.45,0.51,11.6,0xa2e
25885.771602602,31.66093941,-100.29302391,6289.26,0.76,7.3,0x32a
25885.78839983,31.65663377,-100.28948251,11400.41,0.06,15.4,0xb6a
25885.801221643,31.70758961,-100.21105921,16050.62,1.26,13.4,0xb2e
25885.801321591,31.56492147,-100.2730463,16052.19,0.39,13.1,0xb2a
25885.809586012,31.66047127,-100.16862471,11629.09,0.52,10.4,0xa2a
25885.811796223,31.65581485,-100.18077009,11890.58,0.27,17.3,0xb6a
25885.818037438,33.57544374,-101.73980726,13174.83,0.37,-1.9,0xa8c
25885.818075236,31.68911497,-100.30483882,28085.5,0.56,5.8,0xa2a
25885.822437404,31.62734699,-100.14009918,20572.71,0.08,9.6,0xb28
25885.827382933,31.6424393,-100.15147413,26064.53,0.52,11.1,0x32a
25885.847829808,31.68895601,-100.14978323,11613.06,0.01,11.6,0x32a
25885.851353329,31.70784514,-100.16226074,7016.0,0.31,13.7,0x36a
25885.858395993,31.71716851,-100.15984918,10403.04,0.01,13.5,0x96a
25885.858456898,31.73385573,-100.17885511,9694.04,0.09,17.3,0xa6a
25885.862837046,31.74069934,-100.18621471,11090.36,0.34,10.8,0xb2a
25885.879919197,31.72959385,-100.18733884,17799.23,0.47,10.8,0xb2a
25885.905714187,31.58430442,-100.09352758,20083.16,0.88,14.5,0xb2a
25885.911257694,31.76118716,-100.20996514,10709.26,0.02,14.8,0xb6a
25885.929490114,31.60953449,-100.04088536,7454.67,0.45,11.9,0xb26
25885.930619812,31.79852894,-100.2535905,6576.88,0.62,10.4,0x32a
25885.954165656,31.25707799,-100.20057336,12198.25,0.26,13.1,0xb2a
25885.956626609,31.65965192,-100.14167624,10714.49,0.03,6.3,0xa2a
25885.970938038,31.79727647,-100.27344717,6113.52,0.88,10.1,0xa2a
25885.977734595,31.75464794,-100.25231319,14776.22,0.07,8.6,0x32a
25885.979033758,31.26317371,-100.18991315,16847.66,0.42,11.2,0xb2a
25885.97994227,31.83564043,-100.23757038,6601.82,0.07,14.3,0x32a
25885.992814311,31.81179016,-100.20886422,9259.48,0.02,15.1,0xb6a
25886.006391112,31.72414285,-100.2536155,15972.61,0.32,12.5,0xb2a
25886.009069364,32.28739204,-104.67265057,472936.77,0.15,15.6,0xa70
25886.011107201,31.71173414,-100.24519585,8375.22,0.19,10.8,0xb2a
25886.016129951,31.73519492,-100.27186197,16820.67,0.58,17.5,0xb2a
25886.01625042,33.0133654,-103.45430732,131405.4,0.04,11.0,0x2d8
25886.021824968,31.82757391,-100.19209106,6062.24,0.44,11.9,0x12e
25886.022725957,31.71439071,-100.26575783,13560.93,0.2,10.0,0xb2a
25886.023622202,31.55394907,-100.246102,8078.73,0.1,10.1,0xa2e
25886.031283948,31.67871682,-100.24486707,6668.09,0.56,12.1,0xb2c
25886.038196559,31.33102216,-100.24794788,7777.95,0.94,10.8,0x32a
25886.038860538,31.52919424,-100.23411732,7681.61,0.27,10.7,0xb2a
25886.039201807,31.57562907,-100.31588577,12405.34,0.03,13.0,0x36a
25886.042000758,31.5376824,-100.28981978,13493.66,0.01,15.6,0xb2a
25886.042096877,31.53831735,-100.28957054,13129.7,0.15,14.6,0xb2a
25886.042475012,31.55024197,-100.2991531,18042.24,0.71,16.8,0xb2a
25886.051209399,31.9704814,-100.60129038,12468.95,0.72,13.3,0x2ae
25886.053752082,31.52764169,-100.29545245,17119.51,0.64,9.6,0xb2a
25886.054721633,31.5662994,-100.33011116,9990.98,0.36,16.9,0xb6e
25886.090891771,31.53762991,-100.33218498,7050.66,0.08,14.1,0xa2e
25886.093873094,31.73979325,-100.29396619,21005.19,0.61,15.0,0xb24
25886.094397655,31.12132754,-100.13277092,17111.59,0.6,6.5,0xb0a
25886.110192748,31.44897646,-100.18071794,7754.29,0.09,9.6,0x32a
25886.119633333,31.4946535,-100.20968527,16019.24,0.07,8.8,0xb2a
25886.129296111,31.73579685,-100.06153454,13156.5,0.0,8.5,0x32a
25886.136600901,31.22881417,-100.20580421,12166.9,0.05,23.4,0xbea
25886.154424524,31.30403671,-100.17696298,14157.1,0.0,7.4,0xa2a
25886.224747116,31.29153359,-100.20374688,16093.26,0.0,9.6,0xb2a
25886.23842484,31.30516563,-100.22541643,16771.89,0.3,10.0,0xb2a
25886.242798467,32.91751457,-101.580001,30669.69,0.31,4.5,0x8aa
25886.247347252,31.30319838,-100.17507278,12911.89,0.18,13.4,0xb2e
25886.253509455,31.46122536,-100.33096572,12298.72,0.43,13.3,0xb2a
25886.264694503,31.26506773,-100.18571212,19406.5,0.98,15.6,0xb2e
25886.307549368,31.31376466,-100.26388033,18871.37,0.0,12.2,0xb2a
25886.401287679,31.87081112,-100.20368469,6990.82,1.11,6.2,0xb0a
25886.419166085,33.67642172,-101.80763251,22694.45,0.21,-5.0,0x962
25886.423265432,31.87674156,-100.22447709,6871.85,1.05,9.8,0x32a
25886.442709607,33.75048937,-101.27486644,11514.92,0.5,-4.5,0x38a
25886.444640092,32.85608569,-101.07761322,7892.33,0.1,-0.6,0xa2a
25886.461909833,31.82482111,-100.16290893,9760.4,0.14,17.5,0xb6e
25886.532588156,33.71225716,-101.82543852,31555.43,1.62,-3.6,0x0da
25886.973620655,31.91852495,-99.2670593,11846.56,0.02,9.6,0x32a
25887.062790694,31.98082116,-99.24352043,15056.43,0.08,13.5,0x32e
25887.063174963,31.9775287,-99.2363362,19379.81,0.35,12.9,0x32a
25887.073584638,32.01221853,-99.28919798,16230.44,0.26,17.7,0x36e
25887.084977207,31.81738059,-99.0168224,9635.16,1.11,19.3,0x32e
25887.088133998,31.97050869,-99.22976989,15556.67,0.11,15.0,0xb2e
25887.240928369,31.95209363,-99.31485671,9408.52,0.09,12.9,0x32e
25887.306722745,33.6781924,-101.54900609,5343.44,0.27,-4.0,0xb22
25887.343542164,31.89111595,-99.23379355,10636.12,0.18,16.6,0xb6e
25887.652004348,33.79296975,-101.76516864,11457.72,0.0,-5.3,0x952
25888.7771442,35.4715081,-102.71248332,511983.02,0.04,15.6,0xab0
25889.648220927,31.82670154,-99.1715088,16463.88,0.62,8.5,0x32a
25889.816733999,31.63924211,-98.86700535,54939.76,0.31,19.7,0xb60
25890.007076305,31.88893562,-99.36950965,22357.94,1.35,13.4,0xb2e
25890.014290225,31.83812584,-99.30666623,14996.99,0.19,14.7,0xb2e
25890.014473191,31.84396431,-99.31637873,8497.14,0.36,11.6,0xa2a
25891.064474166,31.14980334,-100.3257813,19981.72,0.71,15.5,0xb2a
25891.167596595,31.18568593,-100.32437765,19705.13,0.13,8.4,0xa2a
25891.168017616,31.17089662,-100.30495475,12116.82,1.59,9.6,0x32a
25891.183093871,31.1734713,-100.30897637,8585.37,0.27,10.8,0xb28
25891.205039337,31.18447108,-100.38212022,30042.39,1.25,15.4,0x92a
25891.357716579,31.12159321,-100.30742276,17653.64,0.45,15.6,0xb2a
25891.467989539,35.10602211,-100.75752737,407165.1,0.04,26.2,0xd44
25891.48450775,31.1049983,-100.25800779,19524.43,0.25,11.7,0xb2a
25891.500554326,31.10475561,-100.24999849,17279.15,0.06,15.4,0xb2a
25891.503231702,31.10311508,-100.2518225,15252.5,0.14,16.2,0xb6a
25891.505346054,31.14235733,-100.27713463,19120.72,0.8,14.6,0xb2a
25891.52662704,33.57162189,-104.96899823,87941.77,0.83,6.5,0xb88
25891.66458779,29.12347532,-99.23380652,27859.94,0.56,26.2,0x346
25891.665723234,31.49022096,-100.47170798,7792.45,1.28,19.2,0x22e
25891.665994106,34.97117007,-101.18348534,71498.06,1.98,9.9,0x968
25891.786620466,31.38953372,-100.41713844,16179.94,0.9,15.4,0x92e
25891.800462222,31.20839941,-100.39515727,8007.4,0.28,14.0,0x32e
25891.805308832,31.15422684,-100.37886099,9085.02,0.5,9.0,0xb2a
25892.12077385,33.4000646,-101.66134181,31269.04,1.3,-1.2,0x54a
25892.308556781,33.9945403,-101.49978656,15313.81,0.08,-3.1,0xba0
25892.99157194,33.68129333,-101.35171544,7416.68,0.24,1.2,0xb50
25893.474469187,34.09125711,-102.23296294,82139.42,0.0,6.7,0xb90
25893.784343429,33.72890569,-102.22746955,23006.48,0.04,-8.9,0x85a
25894.482536955,33.69898526,-101.88963598,43296.45,1.36,2.5,0x9b0
25896.844514319,31.18688317,-100.17545384,17772.31,0.14,17.8,0xb6e
25896.855428538,31.23705529,-100.19795242,14048.32,0.81,19.3,0x36e
25896.858987457,31.1705457,-100.16670218,13793.22,0.28,17.1,0xa6e
25896.946169584,33.51795813,-102.03388349,96125.93,1.11,-1.4,0xa2a
25896.972106864,31.23895485,-100.31839953,8422.02,0.27,10.9,0xb28
25896.97361216,31.26428703,-100.32637629,9363.37,0.58,13.1,0xa2e
